"citycode","city_name","lon","lat","climate","childprop","pop","pwd_g"
431300,"娄底市",111.6118766,27.73934478,"Subtropical",0.19201460431841,3826996,547.12387031013
440100,"广州市",113.5313339,23.36703028,"Subtropical",0.114655799252209,18676605,4238.0310360063
440200,"韶关市",113.7706565,24.82680323,"Subtropical",0.184787169977419,2855131,233.569243688963
440300,"深圳市",114.1340548,22.66423532,"Subtropical",0.0989619902955877,17560061,7265.33404047674
440400,"珠海市",113.3584505,22.17372681,"Subtropical",0.135658195362649,2439585,1880.37256476591
440600,"佛山市",112.9389982,23.01641754,"Subtropical",0.118787994654732,9498863,2476.33046320732
440700,"江门市",112.6660854,22.28034736,"Subtropical",0.142940339986739,4798090,861.623868657623
441200,"肇庆市",112.2006046,23.53756078,"Subtropical",0.210479240601287,4113594,376.430959003005
441300,"惠州市",114.4969594,23.24999063,"Subtropical",0.174315555708266,6042852,619.996544794461
441500,"汕尾市",115.5348302,23.02638486,"Subtropical",0.244649832786516,2672819,698.591224790134
441600,"河源市",114.9574868,24.04965998,"Subtropical",0.239926852292815,2837686,238.601347952352
441700,"阳江市",111.768174,22.03875081,"Subtropical",0.183210226662725,2602959,534.272688456505
441800,"清远市",112.8716376,24.322258,"Subtropical",0.19371070610846,3969473,305.058609458095
441900,"东莞市",113.8783936,22.94518485,"Subtropical",0.0828011995318366,10466625,3390.97503757013
442000,"中山市",113.3668904,22.52460664,"Subtropical",0.117043195489023,4418060,2259.94132969158
450100,"南宁市",108.4628276,23.0532993,"Subtropical",0.181362785943651,8741584,508.788964341949
5e+05,"重庆市",107.88236,30.06566399,"Subtropical",0.169983051476158,32054159,503.595819405029
510100,"成都市",103.8204369,30.69897033,"Subtropical",0.109402834998799,20937757,2513.48824493026
520100,"贵阳市",106.7064581,26.83862992,"Subtropical",0.170372258803765,5987018,1877.97441079697
530100,"昆明市",102.8715577,25.38662468,"Subtropical",0.154978950466317,8460088,894.716681270456
610100,"西安市",108.7969201,34.11600269,"Temperate",0.128871619886918,12952907,2144.21211422333
610700,"汉中市",107.1061704,33.09518002,"Subtropical",0.154534166072438,3211462,193.539744803632
620500,"天水市",105.7378806,34.65123958,"Temperate",0.208445604954899,2984659,284.973003323115
621100,"定西市",104.4486742,35.12085742,"Temperate",0.183887047621306,2524097,128.256520028312
